,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,Dist,PK,PKatt
21,2016-12-11,15:00,Serie A,Matchweek 16,Sun,Away,W,3,1,Torino,48.0,26426,Gianluigi Buffon,4-3-3,Gianluca Rocchi,Match Report,,17.0,8.0,,0,0
22,2016-12-17,20:45,Serie A,Matchweek 17,Sat,Home,W,1,0,Roma,39.0,42110,Gianluigi Buffon,4-3-1-2,Daniele Orsato,Match Report,,7.0,6.0,,0,0
23,2016-12-23,19:30,Supercoppa Italiana,Supercoppa Italiana,Fri,Home,D,1 (3),1 (4),Milan,41.0,11356,Gianluigi Buffon,4-3-1-2,Antonio Damato,Match Report,,4.0,3.0,,0,0
24,2017-01-08,20:45,Serie A,Matchweek 19,Sun,Home,W,3,0,Bologna,54.0,38144,Giorgio Chiellini,4-3-2-1,Maurizio Mariani,Match Report,,13.0,4.0,,1,1
25,2017-01-11,20:45,Coppa Italia,Round of 16,Wed,Home,W,3,2,Atalanta,,38023,,,Piero Giacomelli,Match Report,,,,,1,1
26,2017-01-15,20:45,Serie A,Matchweek 20,Sun,Away,L,1,2,Fiorentina,52.0,34085,Gianluigi Buffon,3-5-1-1,Luca Banti,Match Report,,11.0,4.0,,0,0
27,2017-01-22,12:30,Serie A,Matchweek 21,Sun,Home,W,2,0,Lazio,58.0,38968,Gianluigi Buffon,4-2-3-1,Davide Massa,Match Report,,7.0,2.0,,0,0
28,2017-01-25,20:45,Coppa Italia,Quarter-finals,Wed,Home,W,2,1,Milan,,36315,,,Massimiliano Irrati,Match Report,,,,,0,0
29,2017-01-29,15:00,Serie A,Matchweek 22,Sun,Away,W,2,0,Sassuolo,55.0,21584,Gianluigi Buffon,4-2-3-1,Daniele Doveri,Match Report,,14.0,5.0,,0,0
30,2017-02-05,20:45,Serie A,Matchweek 23,Sun,Home,W,1,0,Inter,48.0,41318,Gianluigi Buffon,4-2-3-1,Nicola Rizzoli,Match Report,,14.0,6.0,,0,0
31,2017-02-08,18:00,Serie A,Matchweek 18,Wed,Away,W,2,0,Crotone,80.0,15353,Gianluigi Buffon,4-2-3-1,Paolo Valeri,Match Report,,17.0,11.0,,0,0
32,2017-02-12,20:45,Serie A,Matchweek 24,Sun,Away,W,2,0,Cagliari,63.0,15874,Gianluigi Buffon,4-2-3-1,Giampaolo Calvarese,Match Report,,13.0,3.0,,0,0
33,2017-02-17,20:45,Serie A,Matchweek 25,Fri,Home,W,4,1,Palermo,58.0,39247,Gianluigi Buffon,4-3-3,Marco Di Bello,Match Report,,14.0,7.0,,0,0
34,2017-02-22,19:45,Champions Lg,Round of 16,Wed,Away,W,2,0,pt Porto,77.0,49229,Gianluigi Buffon,4-2-3-1,Felix Brych,Match Report,Leg 1 of 2,19.0,4.0,,0,0
35,2017-02-25,20:45,Serie A,Matchweek 26,Sat,Home,W,2,0,Empoli,54.0,38297,Claudio Marchisio,4-4-2,Maurizio Mariani,Match Report,,24.0,6.0,,0,0
36,2017-02-28,20:45,Coppa Italia,Semi-finals,Tue,Home,W,3,1,Napoli,,38398,,,Paolo Valeri,Match Report,Leg 1 of 2,,,,2,2
37,2017-03-05,15:00,Serie A,Matchweek 27,Sun,Away,D,1,1,Udinese,65.0,25828,Gianluigi Buffon,4-2-3-1,Antonio Damato,Match Report,,9.0,3.0,,0,0
38,2017-03-10,20:45,Serie A,Matchweek 28,Fri,Home,W,2,1,Milan,59.0,40573,Gianluigi Buffon,4-2-3-1,Davide Massa,Match Report,,24.0,11.0,,1,1
39,2017-03-14,20:45,Champions Lg,Round of 16,Tue,Home,W,1,0,pt Porto,66.0,41161,Gianluigi Buffon,4-2-3-1,Ovidiu Hațegan,Match Report,Leg 2 of 2; Juventus won,15.0,3.0,,1,1
40,2017-03-19,15:00,Serie A,Matchweek 29,Sun,Away,W,1,0,Sampdoria,51.0,26127,Gianluigi Buffon,4-2-3-1,Paolo Tagliavento,Match Report,,9.0,6.0,,0,0
41,2017-04-02,20:45,Serie A,Matchweek 30,Sun,Away,D,1,1,Napoli,39.0,53085,Gianluigi Buffon,4-2-3-1,Daniele Orsato,Match Report,,4.0,1.0,,0,0
42,2017-04-05,20:45,Coppa Italia,Semi-finals,Wed,Away,L,2,3,Napoli,,48421,,,Luca Banti,Match Report,Leg 2 of 2; Juventus won,,,,0,0
43,2017-04-08,20:45,Serie A,Matchweek 31,Sat,Home,W,2,0,Chievo,57.0,39196,Gianluigi Buffon,4-2-3-1,Michael Fabbri,Match Report,,17.0,6.0,,0,0
44,2017-04-11,20:45,Champions Lg,Quarter-finals,Tue,Home,W,3,0,es Barcelona,32.0,41092,Gianluigi Buffon,4-2-3-1,Szymon Marciniak,Match Report,Leg 1 of 2,14.0,8.0,,0,0
45,2017-04-15,15:00,Serie A,Matchweek 32,Sat,Away,W,2,0,Pescara,62.0,19938,Andrea Barzagli,4-2-3-1,Marco Di Bello,Match Report,,14.0,7.0,,0,0
46,2017-04-19,20:45,Champions Lg,Quarter-finals,Wed,Away,D,0,0,es Barcelona,35.0,96290,Gianluigi Buffon,4-2-3-1,Björn Kuipers,Match Report,Leg 2 of 2; Juventus won,12.0,4.0,,0,0
47,2017-04-23,20:45,Serie A,Matchweek 33,Sun,Home,W,4,0,Genoa,58.0,39220,Claudio Marchisio,3-4-3,Giampaolo Calvarese,Match Report,,18.0,4.0,,0,0
48,2017-04-28,20:45,Serie A,Matchweek 34,Fri,Away,D,2,2,Atalanta,66.0,19600,Gianluigi Buffon,4-2-3-1,Marco Guida,Match Report,,16.0,8.0,,0,0
49,2017-05-03,20:45,Champions Lg,Semi-finals,Wed,Away,W,2,0,fr Monaco,50.0,16762,Gianluigi Buffon,3-4-3,Antonio Matéu Lahoz,Match Report,Leg 1 of 2,10.0,5.0,,0,0
50,2017-05-06,20:45,Serie A,Matchweek 35,Sat,Home,D,1,1,Torino,62.0,39239,Leonardo Bonucci,4-2-3-1,Paolo Valeri,Match Report,,22.0,5.0,,0,0
51,2017-05-09,20:45,Champions Lg,Semi-finals,Tue,Home,W,2,1,fr Monaco,52.0,40244,Gianluigi Buffon,3-4-3,Björn Kuipers,Match Report,Leg 2 of 2; Juventus won,15.0,6.0,,0,0
52,2017-05-14,20:45,Serie A,Matchweek 36,Sun,Away,L,1,3,Roma,55.0,53023,Gianluigi Buffon,4-3-3,Luca Banti,Match Report,,16.0,5.0,,0,0
53,2017-05-17,21:00,Coppa Italia,Final,Wed,Home,W,2,0,Lazio,,66341,,,Paolo Tagliavento,Match Report,,,,,0,0
54,2017-05-21,15:00,Serie A,Matchweek 37,Sun,Home,W,3,0,Crotone,69.0,39305,Gianluigi Buffon,4-2-3-1,Paolo Mazzoleni,Match Report,,19.0,7.0,,0,0
55,2017-05-27,18:00,Serie A,Matchweek 38,Sat,Away,W,2,1,Bologna,63.0,29233,Claudio Marchisio,4-2-3-1,Maurizio Mariani,Match Report,,17.0,7.0,,0,0
56,2017-06-03,19:45,Champions Lg,Final,Sat,Home,L,1,4,es Real Madrid,44.0,65842,Gianluigi Buffon,4-2-3-1,Felix Brych,Match Report,,9.0,4.0,,0,0
