,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt
11,2019-10-26,15:00,Serie A,Matchweek 9,Sat,Away,D,1,1,Lecce,3.6,1.1,70,26591.0,Leonardo Bonucci,4-3-1-2,Paolo Valeri,Match Report,,24,3,16.3,0.0,1,1
12,2019-10-30,21:00,Serie A,Matchweek 10,Wed,Home,W,2,1,Genoa,2.7,0.4,54,38732.0,Leonardo Bonucci,4-3-1-2,Antonio Giua,Match Report,,26,10,21.0,0.0,1,1
13,2019-11-02,20:45,Serie A,Matchweek 11,Sat,Away,W,1,0,Torino,1.2,0.4,58,26664.0,Leonardo Bonucci,4-3-1-2,Daniele Doveri,Match Report,,19,10,17.2,1.0,0,0
14,2019-11-06,20:55,Champions Lg,Group stage,Wed,Away,W,2,1,ru Loko Moscow,2.4,2.4,68,26862.0,Leonardo Bonucci,4-3-1-2,Ruddy Buquet,Match Report,,17,9,17.9,2.0,0,0
15,2019-11-10,20:45,Serie A,Matchweek 12,Sun,Home,W,1,0,Milan,1.0,0.8,54,40478.0,Leonardo Bonucci,4-3-1-2,Fabio Maresca,Match Report,,13,5,17.5,0.0,0,0
16,2019-11-23,15:00,Serie A,Matchweek 13,Sat,Away,W,3,1,Atalanta,1.2,2.7,53,20899.0,Leonardo Bonucci,4-3-1-2,Gianluca Rocchi,Match Report,,16,5,22.1,3.0,0,0
17,2019-11-26,21:00,Champions Lg,Group stage,Tue,Home,W,1,0,es Atlético Madrid,0.4,0.7,58,40486.0,Leonardo Bonucci,4-1-2-1-2◆,Anthony Taylor,Match Report,,6,2,18.4,1.0,0,0
18,2019-12-01,12:30,Serie A,Matchweek 14,Sun,Home,D,2,2,Sassuolo,4.6,0.7,56,40597.0,Leonardo Bonucci,4-3-1-2,Federico La Penna,Match Report,,28,8,17.3,3.0,1,1
19,2019-12-07,20:45,Serie A,Matchweek 15,Sat,Away,L,1,3,Lazio,1.6,3.0,60,65000.0,Leonardo Bonucci,4-3-1-2,Michael Fabbri,Match Report,,9,4,19.0,1.0,0,0
20,2019-12-11,21:00,Champions Lg,Group stage,Wed,Away,W,2,0,de Leverkusen,0.9,2.2,46,29542.0,Miralem Pjanić,4-3-1-2,Benoît Bastien,Match Report,,6,2,15.8,0.0,0,0
21,2019-12-15,15:00,Serie A,Matchweek 16,Sun,Home,W,3,1,Udinese,1.6,1.4,65,39127.0,Leonardo Bonucci,4-3-1-2,Fabrizio Pasqua,Match Report,,24,9,18.3,0.0,0,0
22,2019-12-18,18:55,Serie A,Matchweek 17,Wed,Away,W,2,1,Sampdoria,0.9,0.7,70,23136.0,Leonardo Bonucci,4-3-1-2,Gianluca Rocchi,Match Report,,11,4,17.2,0.0,0,0
