,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt
0,2018-08-18,18:00,Serie A,Matchweek 1,Sat,Away,W,3,2,Chievo,3.1,1.1,72.0,29500,Giorgio Chiellini,4-2-3-1,Fabrizio Pasqua,Match Report,,27.0,10.0,17.1,1.0,0,0
1,2018-08-25,18:00,Serie A,Matchweek 2,Sat,Home,W,2,0,Lazio,1.6,0.3,55.0,40171,Giorgio Chiellini,4-3-3,Massimiliano Irrati,Match Report,,16.0,7.0,19.2,1.0,0,0
2,2018-09-01,20:30,Serie A,Matchweek 3,Sat,Away,W,2,1,Parma,2.3,1.9,65.0,20814,Giorgio Chiellini,4-3-3,Daniele Doveri,Match Report,,24.0,6.0,18.8,2.0,0,0
3,2018-09-16,15:00,Serie A,Matchweek 4,Sun,Home,W,2,1,Sassuolo,2.4,0.8,43.0,40563,Sami Khedira,4-3-1-2,Daniele Chiffi,Match Report,,18.0,4.0,15.7,1.0,0,0
4,2018-09-19,21:00,Champions Lg,Group stage,Wed,Away,W,2,0,es Valencia,3.7,2.0,46.0,46067,Giorgio Chiellini,4-3-3,Felix Brych,Match Report,,8.0,3.0,16.3,0.0,2,2
5,2018-09-23,20:30,Serie A,Matchweek 5,Sun,Away,W,2,0,Frosinone,3.0,0.1,72.0,16000,Giorgio Chiellini,4-3-3,Piero Giacomelli,Match Report,,29.0,7.0,19.0,2.0,0,0
6,2018-09-26,21:00,Serie A,Matchweek 6,Wed,Home,W,2,0,Bologna,1.1,0.3,76.0,38472,Andrea Barzagli,3-5-1-1,Maurizio Mariani,Match Report,,15.0,8.0,20.7,1.0,0,0
7,2018-09-29,18:00,Serie A,Matchweek 7,Sat,Home,W,3,1,Napoli,2.8,1.5,51.0,39252,Giorgio Chiellini,4-3-1-2,Luca Banti,Match Report,,17.0,9.0,16.9,1.0,0,0
8,2018-10-02,18:55,Champions Lg,Group stage,Tue,Home,W,3,0,ch Young Boys,3.3,0.2,60.0,40961,Andrea Barzagli,3-4-1-2,Sergey Karasev,Match Report,,17.0,8.0,17.4,1.0,0,0
9,2018-10-06,18:00,Serie A,Matchweek 8,Sat,Away,W,2,0,Udinese,2.3,0.7,60.0,25000,Giorgio Chiellini,4-3-3,Rosario Abisso,Match Report,,21.0,7.0,15.7,0.0,0,0
