,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt
12,2017-10-22,18:00,Serie A,Matchweek 9,Sun,Away,W,6,2,Udinese,1.7,1.1,44,21992,Gianluigi Buffon,4-2-3-1,Daniele Doveri,Match Report,,13,5,16.1,1.0,0,0
13,2017-10-25,20:45,Serie A,Matchweek 10,Wed,Home,W,4,1,SPAL,1.1,0.8,69,38539,Andrea Barzagli,4-2-3-1,Fabrizio Pasqua,Match Report,,16,6,17.7,1.0,0,0
14,2017-10-28,18:00,Serie A,Matchweek 11,Sat,Away,W,2,0,Milan,0.4,1.0,46,78328,Gianluigi Buffon,4-2-3-1,Paolo Valeri,Match Report,,9,4,22.7,1.0,0,0
15,2017-10-31,19:45,Champions Lg,Group stage,Tue,Away,D,1,1,pt Sporting CP,2.0,0.5,66,48442,Gianluigi Buffon,4-2-3-1,Clément Turpin,Match Report,,16,5,19.0,0.0,0,0
16,2017-11-05,15:00,Serie A,Matchweek 12,Sun,Home,W,2,1,Benevento,2.9,0.1,66,39125,Giorgio Chiellini,4-2-3-1,Rosario Abisso,Match Report,,27,8,18.4,5.0,0,0
17,2017-11-19,15:00,Serie A,Matchweek 13,Sun,Away,L,2,3,Sampdoria,2.0,1.6,53,28786,Giorgio Chiellini,4-2-3-1,Marco Guida,Match Report,,17,3,20.4,1.0,1,1
18,2017-11-22,20:45,Champions Lg,Group stage,Wed,Home,D,0,0,es Barcelona,0.5,0.9,37,40876,Gianluigi Buffon,4-2-3-1,Milorad Mažić,Match Report,,10,3,18.5,0.0,0,0
19,2017-11-26,20:45,Serie A,Matchweek 14,Sun,Home,W,3,0,Crotone,2.2,0.1,80,35585,Gianluigi Buffon,3-4-3,Claudio Gavillucci,Match Report,,25,10,18.5,1.0,0,0
20,2017-12-01,20:45,Serie A,Matchweek 15,Fri,Away,W,1,0,Napoli,1.0,0.8,33,55567,Gianluigi Buffon,4-4-1-1,Daniele Orsato,Match Report,,7,4,17.4,0.0,0,0
21,2017-12-05,21:45,Champions Lg,Group stage,Tue,Away,W,2,0,gr Olympiacos,1.5,1.0,62,29567,Andrea Barzagli,4-2-3-1,David Fernández,Match Report,,8,5,15.4,0.0,0,0
22,2017-12-09,20:45,Serie A,Matchweek 16,Sat,Home,D,0,0,Inter,1.1,0.3,52,41418,Giorgio Chiellini,4-3-3,Paolo Valeri,Match Report,,19,7,19.6,1.0,0,0
23,2017-12-17,15:00,Serie A,Matchweek 17,Sun,Away,W,3,0,Bologna,0.6,0.2,59,29270,Andrea Barzagli,4-3-3,Luca Banti,Match Report,,12,7,18.5,1.0,0,0
24,2017-12-20,20:45,Coppa Italia,Round of 16,Wed,Home,W,2,0,Genoa,,,58,39969,,,Fabio Maresca,Match Report,,19,7,,,0,0
25,2017-12-23,20:45,Serie A,Matchweek 18,Sat,Home,W,1,0,Roma,2.0,2.1,43,41100,Giorgio Chiellini,4-3-3,Paolo Tagliavento,Match Report,,22,8,18.9,0.0,0,0
26,2017-12-30,20:45,Serie A,Matchweek 19,Sat,Away,W,3,1,Hellas Verona,1.3,0.1,67,29215,Giorgio Chiellini,4-3-3,Paolo Mazzoleni,Match Report,,18,9,17.8,2.0,0,0
27,2018-01-03,20:45,Coppa Italia,Quarter-finals,Wed,Home,W,2,0,Torino,,,63,37763,,,Daniele Doveri,Match Report,,13,6,,,0,0
28,2018-01-06,20:45,Serie A,Matchweek 20,Sat,Away,W,1,0,Cagliari,1.5,0.5,60,16233,Giorgio Chiellini,4-3-2-1,Giampaolo Calvarese,Match Report,,16,2,19.5,2.0,0,0
29,2018-01-22,20:45,Serie A,Matchweek 21,Mon,Home,W,1,0,Genoa,1.4,0.3,53,29412,Giorgio Chiellini,4-3-3,Marco Di Bello,Match Report,,15,5,19.7,1.0,0,0
30,2018-01-27,20:45,Serie A,Matchweek 22,Sat,Away,W,2,0,Chievo,1.0,0.1,76,23700,Andrea Barzagli,4-3-3,Fabio Maresca,Match Report,,16,7,19.3,1.0,0,0
31,2018-01-30,20:45,Coppa Italia,Semi-finals,Tue,Away,W,1,0,Atalanta,,,46,16406,,,Paolo Valeri,Match Report,Leg 1 of 2,13,1,,,0,0
32,2018-02-04,15:00,Serie A,Matchweek 23,Sun,Home,W,7,0,Sassuolo,2.3,0.3,62,40400,Gianluigi Buffon,4-3-3,Piero Giacomelli,Match Report,,17,10,18.0,1.0,0,0
33,2018-02-09,20:45,Serie A,Matchweek 24,Fri,Away,W,2,0,Fiorentina,0.5,1.1,39,32563,Gianluigi Buffon,4-3-3,Marco Guida,Match Report,,4,3,20.3,1.0,0,0
34,2018-02-13,20:45,Champions Lg,Round of 16,Tue,Home,D,2,2,eng Tottenham,2.5,1.8,34,41232,Gianluigi Buffon,4-2-3-1,Felix Brych,Match Report,Leg 1 of 2,7,4,19.3,0.0,1,2
35,2018-02-18,12:30,Serie A,Matchweek 25,Sun,Away,W,1,0,Torino,1.4,0.3,50,27000,Giorgio Chiellini,4-3-3,Daniele Orsato,Match Report,,7,3,17.1,1.0,0,0
36,2018-02-28,17:30,Coppa Italia,Semi-finals,Wed,Home,W,1,0,Atalanta,,,45,38417,,,Michael Fabbri,Match Report,Leg 2 of 2; Juventus won,9,3,,,1,1
37,2018-03-03,18:00,Serie A,Matchweek 27,Sat,Away,W,1,0,Lazio,0.8,0.2,59,50000,Gianluigi Buffon,3-5-2,Luca Banti,Match Report,,6,1,17.3,0.0,0,0
38,2018-03-07,19:45,Champions Lg,Round of 16,Wed,Away,W,2,1,eng Tottenham,1.5,1.7,45,84010,Gianluigi Buffon,4-1-2-1-2◆,Szymon Marciniak,Match Report,Leg 2 of 2; Juventus won,8,3,15.3,0.0,0,0
39,2018-03-11,15:00,Serie A,Matchweek 28,Sun,Home,W,2,0,Udinese,1.8,0.2,54,40300,Giorgio Chiellini,4-2-3-1,Piero Giacomelli,Match Report,,10,3,16.4,1.0,0,1
40,2018-03-14,18:00,Serie A,Matchweek 26,Wed,Home,W,2,0,Atalanta,1.5,0.4,51,36753,Gianluigi Buffon,4-2-3-1,Maurizio Mariani,Match Report,,15,3,15.9,1.0,0,0
41,2018-03-17,20:45,Serie A,Matchweek 29,Sat,Away,D,0,0,SPAL,0.8,0.1,64,13135,Gianluigi Buffon,4-2-3-1,Davide Massa,Match Report,,12,3,20.9,1.0,0,0
42,2018-03-31,20:45,Serie A,Matchweek 30,Sat,Home,W,3,1,Milan,0.6,0.9,52,41156,Gianluigi Buffon,3-5-2,Paolo Mazzoleni,Match Report,,7,4,19.2,1.0,0,0
43,2018-04-03,20:45,Champions Lg,Quarter-finals,Tue,Home,L,0,3,es Real Madrid,1.6,3.1,44,40849,Gianluigi Buffon,4-4-2,Cüneyt Çakιr,Match Report,Leg 1 of 2,12,2,20.4,2.0,0,0
44,2018-04-07,15:00,Serie A,Matchweek 31,Sat,Away,W,4,2,Benevento,2.5,1.8,56,16867,Claudio Marchisio,4-4-1-1,Fabrizio Pasqua,Match Report,,13,3,24.2,2.0,2,2
45,2018-04-11,20:45,Champions Lg,Quarter-finals,Wed,Away,W,3,1,es Real Madrid,2.7,2.7,39,75796,Gianluigi Buffon,4-3-3,Michael Oliver,Match Report,Leg 2 of 2; Real Madrid won,11,6,15.7,0.0,0,0
46,2018-04-15,18:00,Serie A,Matchweek 32,Sun,Home,W,3,0,Sampdoria,2.1,1.0,50,40121,Gianluigi Buffon,4-4-1-1,Maurizio Mariani,Match Report,,16,5,16.9,0.0,0,0
47,2018-04-18,20:45,Serie A,Matchweek 33,Wed,Away,D,1,1,Crotone,0.7,0.7,73,15021,Claudio Marchisio,4-3-3,Michael Fabbri,Match Report,,13,4,14.0,0.0,0,0
48,2018-04-22,20:45,Serie A,Matchweek 34,Sun,Home,L,0,1,Napoli,0.3,0.8,40,40114,Gianluigi Buffon,4-2-3-1,Gianluca Rocchi,Match Report,,4,0,14.1,1.0,0,0
49,2018-04-28,20:45,Serie A,Matchweek 35,Sat,Away,W,3,2,Inter,1.2,0.4,56,78328,Gianluigi Buffon,4-3-3,Daniele Orsato,Match Report,,13,4,18.7,2.0,0,0
50,2018-05-05,20:45,Serie A,Matchweek 36,Sat,Home,W,3,1,Bologna,2.4,1.2,66,40714,Gianluigi Buffon,3-5-1-1,Massimiliano Irrati,Match Report,,15,6,13.5,0.0,0,0
51,2018-05-09,21:00,Coppa Italia,Final,Wed,Neutral,W,4,0,Milan,,,49,66400,,,Antonio Damato,Match Report,,17,10,,,0,0
52,2018-05-13,20:45,Serie A,Matchweek 37,Sun,Away,D,0,0,Roma,0.3,0.4,53,53091,Andrea Barzagli,4-2-3-1,Paolo Tagliavento,Match Report,,7,0,25.5,1.0,0,0
53,2018-05-19,15:00,Serie A,Matchweek 38,Sat,Home,W,2,1,Hellas Verona,2.4,0.4,66,40380,Gianluigi Buffon,4-3-3,Riccardo Pinzani,Match Report,,25,12,22.3,2.0,0,1
