,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt
0,2017-08-13,20:45,Supercoppa Italiana,Supercoppa Italiana,Sun,Neutral,L,2,3,Lazio,,,59,52000,Gianluigi Buffon,4-2-3-1,Davide Massa,Match Report,,15,7,,,1,1
1,2017-08-19,18:00,Serie A,Matchweek 1,Sat,Home,W,3,0,Cagliari,1.1,1.4,62,39226,Gianluigi Buffon,4-2-3-1,Fabio Maresca,Match Report,,17,7,19.8,2.0,0,0
2,2017-08-26,18:00,Serie A,Matchweek 2,Sat,Away,W,4,2,Genoa,2.1,1.2,57,26296,Gianluigi Buffon,4-2-3-1,Luca Banti,Match Report,,16,6,17.7,2.0,1,1
3,2017-09-09,18:00,Serie A,Matchweek 3,Sat,Home,W,3,0,Chievo,1.3,0.6,58,39457,Stephan Lichtsteiner,4-3-3,Michael Fabbri,Match Report,,15,4,17.5,0.0,0,0
4,2017-09-12,20:45,Champions Lg,Group stage,Tue,Away,L,0,3,es Barcelona,0.7,0.9,37,78656,Gianluigi Buffon,4-2-3-1,Damir Skomina,Match Report,,13,6,20.0,0.0,0,0
5,2017-09-17,12:30,Serie A,Matchweek 4,Sun,Away,W,3,1,Sassuolo,1.0,1.4,62,21584,Gianluigi Buffon,4-2-3-1,Davide Massa,Match Report,,14,6,20.2,1.0,0,0
6,2017-09-20,20:45,Serie A,Matchweek 5,Wed,Home,W,1,0,Fiorentina,0.9,0.4,60,35652,Andrea Barzagli,4-2-3-1,Daniele Doveri,Match Report,,12,5,22.6,1.0,0,0
7,2017-09-23,20:45,Serie A,Matchweek 6,Sat,Home,W,4,0,Torino,2.2,0.2,66,40856,Gianluigi Buffon,4-4-2,Piero Giacomelli,Match Report,,23,9,18.2,1.0,0,0
8,2017-09-27,20:45,Champions Lg,Group stage,Wed,Home,W,2,0,gr Olympiacos,2.3,0.5,75,33460,Gianluigi Buffon,4-2-3-1,Tobias Stieler,Match Report,,22,6,14.9,4.0,0,0
9,2017-10-01,20:45,Serie A,Matchweek 7,Sun,Away,D,2,2,Atalanta,2.7,1.1,58,19962,Gianluigi Buffon,4-2-3-1,Antonio Damato,Match Report,,16,7,19.6,1.0,0,1
10,2017-10-14,18:00,Serie A,Matchweek 8,Sat,Home,L,1,2,Lazio,2.3,1.6,60,39145,Gianluigi Buffon,4-3-3,Paolo Mazzoleni,Match Report,,17,5,21.6,0.0,0,1
11,2017-10-18,20:45,Champions Lg,Group stage,Wed,Home,W,2,1,pt Sporting CP,1.5,0.5,55,36288,Gianluigi Buffon,4-2-3-1,Michael Oliver,Match Report,,18,8,15.4,1.0,0,0
