,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt
10,2021-10-19,20:00,Champions Lg,Group stage,Tue,Away,L,0,1,pt Porto,0.2,1.1,48,32130,Davide Calabria,4-2-3-1,Felix Brych,Match Report,,4,1,26.6,2.0,0,0
11,2021-10-23,20:45,Serie A,Matchweek 9,Sat,Away,W,4,2,Bologna,1.2,0.8,63,22167,Davide Calabria,4-2-3-1,Paolo Valeri,Match Report,,15,7,18.6,1.0,0,0
12,2021-10-26,20:45,Serie A,Matchweek 10,Tue,Home,W,1,0,Torino,0.9,0.7,45,35929,Alessio Romagnoli,4-2-3-1,Gianluca Aureliano,Match Report,,10,2,21.2,0.0,0,0
13,2021-10-31,20:45,Serie A,Matchweek 11,Sun,Away,W,2,1,Roma,1.9,1.7,50,51001,Davide Calabria,4-2-3-1,Fabio Maresca,Match Report,,7,2,19.9,2.0,1,1
14,2021-11-03,18:45,Champions Lg,Group stage,Wed,Home,D,1,1,pt Porto,0.6,1.8,52,39675,Alessio Romagnoli,4-2-3-1,Clément Turpin,Match Report,,8,2,17.9,2.0,0,0
15,2021-11-07,20:45,Serie A,Matchweek 12,Sun,Home,D,1,1,Inter,1.2,2.7,50,56608,Simon Kjær,4-2-3-1,Daniele Doveri,Match Report,,16,4,18.9,1.0,0,0
16,2021-11-20,20:45,Serie A,Matchweek 13,Sat,Away,L,3,4,Fiorentina,2.2,1.3,55,32567,Franck Kessié,4-2-3-1,Marco Guida,Match Report,,17,7,15.6,0.0,0,0
17,2021-11-24,21:00,Champions Lg,Group stage,Wed,Away,W,1,0,es Atlético Madrid,1.3,0.9,57,61019,Alessio Romagnoli,4-2-3-1,Slavko Vinčič,Match Report,,14,4,18.7,0.0,0,0
18,2021-11-28,15:00,Serie A,Matchweek 14,Sun,Home,L,1,3,Sassuolo,1.1,1.5,50,52824,Alessio Romagnoli,4-2-3-1,Gianluca Manganiello,Match Report,,15,2,17.3,0.0,0,0
19,2021-12-01,20:45,Serie A,Matchweek 15,Wed,Away,W,3,0,Genoa,1.4,0.5,58,14000,Franck Kessié,4-2-3-1,Juan Sacchi,Match Report,,18,5,19.1,1.0,0,0
20,2021-12-04,15:00,Serie A,Matchweek 16,Sat,Home,W,2,0,Salernitana,2.3,0.4,70,43609,Alessio Romagnoli,4-2-3-1,Antonio Giua,Match Report,,22,8,17.4,0.0,0,0
21,2021-12-07,21:00,Champions Lg,Group stage,Tue,Home,L,1,2,eng Liverpool,1.4,1.9,48,56237,Alessio Romagnoli,4-2-3-1,Danny Makkelie,Match Report,,8,3,16.4,1.0,0,0
22,2021-12-11,20:45,Serie A,Matchweek 17,Sat,Away,D,1,1,Udinese,0.9,2.4,66,16385,Alessio Romagnoli,4-2-3-1,Francesco Fourneau,Match Report,,12,1,15.1,0.0,0,0
23,2021-12-19,20:45,Serie A,Matchweek 18,Sun,Home,L,0,1,Napoli,0.6,1.0,49,54647,Alessio Romagnoli,4-2-3-1,Davide Massa,Match Report,,12,2,20.2,0.0,0,0
24,2021-12-22,20:45,Serie A,Matchweek 19,Wed,Away,W,4,2,Empoli,1.5,1.6,45,10596,Alessio Romagnoli,4-2-3-1,Marco Di Bello,Match Report,,18,8,18.1,2.0,0,0
25,2022-01-06,18:30,Serie A,Matchweek 20,Thu,Home,W,3,1,Roma,3.2,0.7,54,35870,Theo Hernández,4-2-3-1,Daniele Chiffi,Match Report,,17,3,23.1,1.0,1,2
26,2022-01-09,12:30,Serie A,Matchweek 21,Sun,Away,W,3,0,Venezia,2.9,0.5,61,5000,Theo Hernández,4-2-3-1,Massimiliano Irrati,Match Report,,17,6,17.4,1.0,1,1
27,2022-01-13,21:00,Coppa Italia,Round of 16,Thu,Home,W,3,1,Genoa,,,61,13325,Theo Hernández,4-2-3-1,Gianluca Aureliano,Match Report,Required Extra Time,24,7,,,0,0
28,2022-01-17,18:30,Serie A,Matchweek 22,Mon,Home,L,1,2,Spezia,3.0,1.5,60,5000,Theo Hernández,4-2-3-1,Marco Serra,Match Report,,24,8,17.7,1.0,0,1
29,2022-01-23,20:45,Serie A,Matchweek 23,Sun,Home,D,0,0,Juventus,0.9,0.5,47,5000,Alessio Romagnoli,4-2-3-1,Marco Di Bello,Match Report,,14,4,22.0,1.0,0,0
30,2022-02-05,18:00,Serie A,Matchweek 24,Sat,Away,W,2,1,Inter,1.4,1.1,54,37918,Alessio Romagnoli,4-2-3-1,Marco Guida,Match Report,,10,3,20.5,1.0,0,0
31,2022-02-09,21:00,Coppa Italia,Quarter-finals,Wed,Home,W,4,0,Lazio,,,48,38000,Alessio Romagnoli,4-2-3-1,Simone Sozza,Match Report,,8,6,,,0,0
32,2022-02-13,12:30,Serie A,Matchweek 25,Sun,Home,W,1,0,Sampdoria,1.4,0.2,50,35710,Alessio Romagnoli,4-2-3-1,Daniele Chiffi,Match Report,,15,7,15.0,0.0,0,0
33,2022-02-19,20:45,Serie A,Matchweek 26,Sat,Away,D,2,2,Salernitana,2.0,1.7,60,18449,Davide Calabria,4-2-3-1,Michael Fabbri,Match Report,,13,5,19.5,1.0,0,0
34,2022-02-25,18:45,Serie A,Matchweek 27,Fri,Home,D,1,1,Udinese,0.8,1.3,62,44588,Alessio Romagnoli,4-2-3-1,Matteo Marchetti,Match Report,,9,3,18.3,0.0,0,0
35,2022-03-01,21:00,Coppa Italia,Semi-finals,Tue,Home,D,0,0,Inter,,,49,53881,Alessio Romagnoli,4-2-3-1,Maurizio Mariani,Match Report,Leg 1 of 2,13,3,,,0,0
36,2022-03-06,20:45,Serie A,Matchweek 28,Sun,Away,W,1,0,Napoli,1.2,0.4,40,42000,Davide Calabria,4-3-3,Daniele Orsato,Match Report,,12,7,19.4,0.0,0,0
37,2022-03-12,20:45,Serie A,Matchweek 29,Sat,Home,W,1,0,Empoli,0.8,0.4,53,48801,Davide Calabria,4-2-3-1,Daniele Chiffi,Match Report,,15,5,15.7,1.0,0,0
38,2022-03-19,20:45,Serie A,Matchweek 30,Sat,Away,W,1,0,Cagliari,2.1,1.4,58,12309,Davide Calabria,4-2-3-1,Marco Di Bello,Match Report,,21,5,17.0,0.0,0,0
39,2022-04-04,20:45,Serie A,Matchweek 31,Mon,Home,D,0,0,Bologna,2.6,0.7,53,68136,Davide Calabria,4-2-3-1,Livio Marinelli,Match Report,,33,7,18.1,0.0,0,0
40,2022-04-10,20:45,Serie A,Matchweek 32,Sun,Away,D,0,0,Torino,0.8,1.1,56,23472,Davide Calabria,4-2-3-1,Daniele Doveri,Match Report,,14,3,20.3,1.0,0,0
41,2022-04-15,21:00,Serie A,Matchweek 33,Fri,Home,W,2,0,Genoa,1.4,0.3,59,70259,Franck Kessié,4-3-3,Daniele Chiffi,Match Report,,10,5,14.2,0.0,0,0
42,2022-04-19,21:00,Coppa Italia,Semi-finals,Tue,Away,L,0,3,Inter,,,52,75000,Davide Calabria,4-2-3-1,Maurizio Mariani,Match Report,Leg 2 of 2; Inter won,19,6,,,0,0
43,2022-04-24,20:45,Serie A,Matchweek 34,Sun,Away,W,2,1,Lazio,2.6,0.5,53,25000,Davide Calabria,4-2-3-1,Marco Guida,Match Report,,25,8,18.3,2.0,0,0
44,2022-05-01,15:00,Serie A,Matchweek 35,Sun,Home,W,1,0,Fiorentina,1.6,1.0,49,71542,Davide Calabria,4-2-3-1,Paolo Valeri,Match Report,,13,2,15.0,0.0,0,0
45,2022-05-08,20:45,Serie A,Matchweek 36,Sun,Away,W,3,1,Hellas Verona,3.1,1.1,53,30154,Davide Calabria,4-2-3-1,Daniele Doveri,Match Report,,18,8,17.8,0.0,0,0
46,2022-05-15,18:00,Serie A,Matchweek 37,Sun,Home,W,2,0,Atalanta,1.9,0.9,46,73304,Davide Calabria,4-2-3-1,Daniele Orsato,Match Report,,12,6,21.5,1.0,0,0
47,2022-05-22,18:00,Serie A,Matchweek 38,Sun,Away,W,3,0,Sassuolo,3.3,0.5,47,21584,Davide Calabria,4-2-3-1,Daniele Doveri,Match Report,,18,11,14.3,0.0,0,0
