,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt
0,2021-08-23,20:45,Serie A,Matchweek 1,Mon,Away,W,1,0,Sampdoria,1.2,1.6,50,5000,Davide Calabria,4-2-3-1,Marco Guida,Match Report,,11,4,19.7,0.0,0,0
1,2021-08-29,20:45,Serie A,Matchweek 2,Sun,Home,W,4,1,Cagliari,2.9,0.7,57,31946,Davide Calabria,4-2-3-1,Marco Serra,Match Report,,17,4,19.0,1.0,1,1
2,2021-09-12,18:00,Serie A,Matchweek 3,Sun,Home,W,2,0,Lazio,3.0,0.3,47,36207,Alessio Romagnoli,4-2-3-1,Daniele Chiffi,Match Report,,18,3,20.0,0.0,0,1
3,2021-09-15,20:00,Champions Lg,Group stage,Wed,Away,L,2,3,eng Liverpool,1.6,2.5,40,51445,Davide Calabria,4-2-3-1,Szymon Marciniak,Match Report,,7,3,13.4,0.0,0,0
4,2021-09-19,20:45,Serie A,Matchweek 4,Sun,Away,D,1,1,Juventus,1.0,1.2,56,18785,Alessio Romagnoli,4-2-3-1,Daniele Doveri,Match Report,,13,3,23.0,1.0,0,0
5,2021-09-22,20:45,Serie A,Matchweek 5,Wed,Home,W,2,0,Venezia,1.8,1.0,66,26185,Alessio Romagnoli,4-2-3-1,Ivan Pezzuto,Match Report,,14,4,17.6,2.0,0,0
6,2021-09-25,15:00,Serie A,Matchweek 6,Sat,Away,W,2,1,Spezia,1.6,1.1,63,3618,Alessio Romagnoli,4-2-3-1,Gianluca Manganiello,Match Report,,18,5,18.0,1.0,0,0
7,2021-09-28,21:00,Champions Lg,Group stage,Tue,Home,L,1,2,es Atlético Madrid,0.7,2.1,36,35374,Alessio Romagnoli,4-2-3-1,Cüneyt Çakιr,Match Report,,7,3,24.4,0.0,0,0
8,2021-10-03,20:45,Serie A,Matchweek 7,Sun,Away,W,3,2,Atalanta,2.5,2.3,44,9363,Davide Calabria,4-2-3-1,Marco Di Bello,Match Report,,13,7,17.3,0.0,0,0
9,2021-10-16,20:45,Serie A,Matchweek 8,Sat,Home,W,3,2,Hellas Verona,1.9,1.8,54,40128,Alessio Romagnoli,4-2-3-1,Alessandro Prontera,Match Report,,16,3,20.9,0.0,1,1
